Recency,Frequency,Monetary,Cluster,Segment
160,8,31372,1,Regular Shoppers
193,5,7545,1,Regular Shoppers
13,9,61191,1,Regular Shoppers
8,30,177220,0,Loyal Customers
3,8,56092,1,Regular Shoppers
8,19,168211,3,Potential High-Value
4,5,17795,1,Regular Shoppers
60,9,84591,3,Potential High-Value
105,5,43495,1,Regular Shoppers
63,7,103359,3,Potential High-Value
343,1,1499,2,Churned Customers
12,6,16744,1,Regular Shoppers
31,3,5797,1,Regular Shoppers
366,1,3999,2,Churned Customers
129,7,47693,1,Regular Shoppers
91,10,27790,1,Regular Shoppers
17,10,148800,3,Potential High-Value
39,7,90593,3,Potential High-Value
439,3,46097,2,Churned Customers
519,2,3798,2,Churned Customers
39,2,4498,1,Regular Shoppers
6,9,66147,3,Potential High-Value
158,2,2069,1,Regular Shoppers
89,10,80630,3,Potential High-Value
156,7,83893,1,Regular Shoppers
14,10,80540,3,Potential High-Value
15,9,165641,3,Potential High-Value
7,1,4499,1,Regular Shoppers
36,20,152391,3,Potential High-Value
66,5,50695,1,Regular Shoppers
18,9,56841,1,Regular Shoppers
73,5,9495,1,Regular Shoppers
179,5,7995,1,Regular Shoppers
3,7,53743,1,Regular Shoppers
242,5,80925,1,Regular Shoppers
118,10,55440,1,Regular Shoppers
17,5,106595,3,Potential High-Value
91,2,1748,1,Regular Shoppers
34,10,79890,3,Potential High-Value
28,11,92999,3,Potential High-Value
343,2,44998,2,Churned Customers
31,20,153280,3,Potential High-Value
6,20,195430,0,Loyal Customers
103,22,224888,0,Loyal Customers
220,7,59293,1,Regular Shoppers
44,20,167880,3,Potential High-Value
5,10,59090,3,Potential High-Value
102,7,46143,1,Regular Shoppers
88,5,9896,1,Regular Shoppers
203,4,20096,1,Regular Shoppers
31,3,11197,1,Regular Shoppers
183,6,71055,1,Regular Shoppers
2,28,210578,0,Loyal Customers
141,5,86595,1,Regular Shoppers
17,8,158292,3,Potential High-Value
157,9,70741,1,Regular Shoppers
115,18,130132,3,Potential High-Value
22,23,214687,0,Loyal Customers
11,14,138686,3,Potential High-Value
2,24,130456,0,Loyal Customers
115,10,242490,3,Potential High-Value
3,16,170264,3,Potential High-Value
283,7,104523,2,Churned Customers
613,1,5999,2,Churned Customers
21,6,53594,1,Regular Shoppers
26,8,11602,1,Regular Shoppers
17,10,92940,3,Potential High-Value
34,8,11442,1,Regular Shoppers
127,9,73037,1,Regular Shoppers
296,1,2999,2,Churned Customers
1,13,60387,3,Potential High-Value
123,8,90992,1,Regular Shoppers
139,1,2999,1,Regular Shoppers
92,2,698,1,Regular Shoppers
172,2,848,1,Regular Shoppers
122,4,66496,1,Regular Shoppers
82,7,57093,1,Regular Shoppers
15,9,87907,3,Potential High-Value
11,4,22896,1,Regular Shoppers
239,5,36066,1,Regular Shoppers
42,5,40675,1,Regular Shoppers
78,9,60791,1,Regular Shoppers
33,7,43823,1,Regular Shoppers
7,10,35557,1,Regular Shoppers
53,10,45590,1,Regular Shoppers
38,20,373980,0,Loyal Customers
9,23,221654,0,Loyal Customers
194,5,83095,1,Regular Shoppers
34,8,89842,3,Potential High-Value
476,5,5895,2,Churned Customers
126,2,6998,1,Regular Shoppers
82,2,1398,1,Regular Shoppers
16,14,172886,3,Potential High-Value
272,2,2898,2,Churned Customers
2,14,208686,3,Potential High-Value
201,2,3798,1,Regular Shoppers
147,6,27124,1,Regular Shoppers
58,10,138270,3,Potential High-Value
361,2,50598,2,Churned Customers
17,9,151191,3,Potential High-Value
199,7,42833,1,Regular Shoppers
52,4,25946,1,Regular Shoppers
17,19,167202,3,Potential High-Value
189,2,6498,1,Regular Shoppers
248,2,18498,2,Churned Customers
405,2,50498,2,Churned Customers
68,7,163793,3,Potential High-Value
131,2,6498,1,Regular Shoppers
161,10,126890,3,Potential High-Value
201,7,16943,1,Regular Shoppers
6,37,270223,0,Loyal Customers
35,26,204784,0,Loyal Customers
48,30,306100,0,Loyal Customers
46,24,228886,0,Loyal Customers
6,6,52145,1,Regular Shoppers
447,3,25297,2,Churned Customers
285,4,29796,2,Churned Customers
8,48,557824,0,Loyal Customers
229,10,52290,1,Regular Shoppers
276,7,43664,2,Churned Customers
220,3,6197,1,Regular Shoppers
12,9,47791,1,Regular Shoppers
706,1,209,2,Churned Customers
4,7,83953,3,Potential High-Value
12,30,301870,0,Loyal Customers
0,26,147920,0,Loyal Customers
9,30,188720,0,Loyal Customers
57,11,50689,1,Regular Shoppers
58,10,91491,3,Potential High-Value
42,29,256037,0,Loyal Customers
17,3,16997,1,Regular Shoppers
286,4,14196,2,Churned Customers
353,7,45593,2,Churned Customers
63,5,23845,1,Regular Shoppers
182,1,999,1,Regular Shoppers
142,8,36292,1,Regular Shoppers
381,2,12998,2,Churned Customers
0,25,271775,0,Loyal Customers
194,9,93491,1,Regular Shoppers
66,3,29997,1,Regular Shoppers
161,6,50194,1,Regular Shoppers
367,1,2499,2,Churned Customers
119,10,142890,3,Potential High-Value
165,4,46796,1,Regular Shoppers
598,1,999,2,Churned Customers
0,9,99391,3,Potential High-Value
60,11,49345,1,Regular Shoppers
25,4,5596,1,Regular Shoppers
121,7,58864,1,Regular Shoppers
14,8,51563,1,Regular Shoppers
11,10,63846,3,Potential High-Value
62,2,30998,1,Regular Shoppers
4,37,491763,0,Loyal Customers
103,7,65293,1,Regular Shoppers
22,10,167890,3,Potential High-Value
69,5,35295,1,Regular Shoppers
61,10,159540,3,Potential High-Value
1,9,86091,3,Potential High-Value
270,7,38203,2,Churned Customers
122,6,75894,1,Regular Shoppers
164,8,122592,3,Potential High-Value
84,4,27096,1,Regular Shoppers
47,28,230633,0,Loyal Customers
16,9,65591,3,Potential High-Value
54,10,79240,3,Potential High-Value
307,2,1298,2,Churned Customers
36,17,161294,3,Potential High-Value
76,10,132090,3,Potential High-Value
6,7,108443,3,Potential High-Value
107,8,22798,1,Regular Shoppers
17,9,36491,1,Regular Shoppers
143,2,1298,1,Regular Shoppers
18,10,27796,1,Regular Shoppers
4,21,131029,3,Potential High-Value
21,17,108683,3,Potential High-Value
603,2,26998,2,Churned Customers
65,15,57585,3,Potential High-Value
37,10,106870,3,Potential High-Value
45,15,186596,3,Potential High-Value
194,9,85391,1,Regular Shoppers
9,27,215274,0,Loyal Customers
16,11,110399,3,Potential High-Value
226,3,40253,1,Regular Shoppers
17,4,21296,1,Regular Shoppers
102,9,47952,1,Regular Shoppers
207,4,37596,1,Regular Shoppers
9,26,306854,0,Loyal Customers
14,11,97889,3,Potential High-Value
5,9,107091,3,Potential High-Value
134,7,47743,1,Regular Shoppers
29,4,70247,1,Regular Shoppers
142,2,5298,1,Regular Shoppers
218,2,20598,1,Regular Shoppers
218,4,29996,1,Regular Shoppers
44,3,51368,1,Regular Shoppers
80,6,46294,1,Regular Shoppers
39,20,289230,0,Loyal Customers
84,3,1397,1,Regular Shoppers
219,3,45497,1,Regular Shoppers
11,6,81594,1,Regular Shoppers
20,30,268620,0,Loyal Customers
20,15,151085,3,Potential High-Value
124,4,53296,1,Regular Shoppers
12,23,267937,0,Loyal Customers
32,29,280398,0,Loyal Customers
13,49,550512,0,Loyal Customers
110,3,33797,1,Regular Shoppers
27,3,6297,1,Regular Shoppers
71,8,47042,1,Regular Shoppers
211,3,4797,1,Regular Shoppers
267,1,29999,2,Churned Customers
61,10,58090,1,Regular Shoppers
199,7,126243,3,Potential High-Value
14,23,301727,0,Loyal Customers
54,10,50590,1,Regular Shoppers
165,4,30996,1,Regular Shoppers
127,6,10494,1,Regular Shoppers
21,9,107691,3,Potential High-Value
196,4,4796,1,Regular Shoppers
31,18,145112,3,Potential High-Value
90,8,56302,1,Regular Shoppers
0,5,40495,1,Regular Shoppers
89,10,92740,3,Potential High-Value
174,6,14094,1,Regular Shoppers
28,8,129542,3,Potential High-Value
36,7,54393,1,Regular Shoppers
24,10,39251,1,Regular Shoppers
33,10,99790,3,Potential High-Value
153,8,54092,1,Regular Shoppers
102,6,10194,1,Regular Shoppers
106,10,106670,3,Potential High-Value
60,8,29892,1,Regular Shoppers
22,2,60998,1,Regular Shoppers
15,9,96191,3,Potential High-Value
169,7,33993,1,Regular Shoppers
103,8,100153,3,Potential High-Value
337,2,6348,2,Churned Customers
191,1,799,1,Regular Shoppers
64,8,113558,3,Potential High-Value
143,7,44044,1,Regular Shoppers
266,3,1507,2,Churned Customers
224,3,25897,1,Regular Shoppers
84,12,107138,3,Potential High-Value
108,5,58695,1,Regular Shoppers
0,8,9702,1,Regular Shoppers
3,9,43241,1,Regular Shoppers
95,23,180648,0,Loyal Customers
91,24,263726,0,Loyal Customers
86,7,40593,1,Regular Shoppers
123,4,32096,1,Regular Shoppers
166,2,49998,1,Regular Shoppers
29,10,114990,3,Potential High-Value
76,5,74295,1,Regular Shoppers
119,10,136340,3,Potential High-Value
312,3,69997,2,Churned Customers
3,21,132761,3,Potential High-Value
265,5,35795,2,Churned Customers
347,4,6346,2,Churned Customers
151,3,3147,1,Regular Shoppers
13,10,42190,1,Regular Shoppers
436,2,1728,2,Churned Customers
273,8,64792,2,Churned Customers
85,9,44291,1,Regular Shoppers
3,9,120341,3,Potential High-Value
195,4,13176,1,Regular Shoppers
82,7,83093,1,Regular Shoppers
699,2,2898,2,Churned Customers
233,2,1898,1,Regular Shoppers
16,7,56593,1,Regular Shoppers
13,10,119140,3,Potential High-Value
9,14,95836,3,Potential High-Value
312,3,2097,2,Churned Customers
18,22,152029,0,Loyal Customers
100,18,125032,3,Potential High-Value
19,10,67406,3,Potential High-Value
323,2,3998,2,Churned Customers
0,1,1499,1,Regular Shoppers
25,6,61094,1,Regular Shoppers
123,3,56997,1,Regular Shoppers
83,4,56496,1,Regular Shoppers
26,4,40496,1,Regular Shoppers
140,6,68494,1,Regular Shoppers
30,19,126537,3,Potential High-Value
25,30,290250,0,Loyal Customers
14,7,105793,3,Potential High-Value
3,26,236124,0,Loyal Customers
77,6,54894,1,Regular Shoppers
6,21,239579,0,Loyal Customers
87,2,2898,1,Regular Shoppers
455,2,51498,2,Churned Customers
224,9,114341,3,Potential High-Value
41,8,136692,3,Potential High-Value
99,1,999,1,Regular Shoppers
9,6,12994,1,Regular Shoppers
366,1,1299,2,Churned Customers
132,2,10498,1,Regular Shoppers
29,7,80993,1,Regular Shoppers
119,15,179935,3,Potential High-Value
13,30,333736,0,Loyal Customers
673,1,299,2,Churned Customers
35,4,7096,1,Regular Shoppers
302,3,40997,2,Churned Customers
189,10,160440,3,Potential High-Value
99,5,9095,1,Regular Shoppers
249,10,44890,1,Regular Shoppers
89,8,66892,1,Regular Shoppers
3,9,85762,3,Potential High-Value
45,10,158790,3,Potential High-Value
385,1,49999,2,Churned Customers
154,1,149,1,Regular Shoppers
1,7,84293,3,Potential High-Value
63,18,192682,3,Potential High-Value
2,3,60297,1,Regular Shoppers
57,1,1299,1,Regular Shoppers
207,5,20195,1,Regular Shoppers
170,5,83195,1,Regular Shoppers
132,7,125743,3,Potential High-Value
98,8,163092,3,Potential High-Value
3,8,43842,1,Regular Shoppers
11,5,126295,3,Potential High-Value
24,9,92391,3,Potential High-Value
133,10,53250,1,Regular Shoppers
368,1,99,2,Churned Customers
174,4,46996,1,Regular Shoppers
32,26,215706,0,Loyal Customers
31,18,59798,3,Potential High-Value
11,6,128094,3,Potential High-Value
597,3,4497,2,Churned Customers
91,9,113251,3,Potential High-Value
8,13,172833,3,Potential High-Value
1,23,289127,0,Loyal Customers
48,3,4297,1,Regular Shoppers
50,8,41758,1,Regular Shoppers
256,7,72293,1,Regular Shoppers
8,10,9591,1,Regular Shoppers
16,8,84792,3,Potential High-Value
66,10,50670,1,Regular Shoppers
576,1,699,2,Churned Customers
439,1,499,2,Churned Customers
135,9,144991,3,Potential High-Value
58,1,1999,1,Regular Shoppers
26,12,68088,3,Potential High-Value
149,9,104771,3,Potential High-Value
56,25,122775,0,Loyal Customers
631,4,13296,2,Churned Customers
14,21,168129,0,Loyal Customers
173,8,18392,1,Regular Shoppers
3,6,106194,3,Potential High-Value
21,18,103532,3,Potential High-Value
21,18,141382,3,Potential High-Value
29,9,31391,1,Regular Shoppers
115,10,113890,3,Potential High-Value
195,7,52993,1,Regular Shoppers
33,6,24454,1,Regular Shoppers
160,9,20557,1,Regular Shoppers
27,3,28997,1,Regular Shoppers
108,20,140572,3,Potential High-Value
248,2,6498,2,Churned Customers
46,3,2397,1,Regular Shoppers
10,41,453709,0,Loyal Customers
63,18,143313,3,Potential High-Value
1,24,160023,0,Loyal Customers
25,15,87636,3,Potential High-Value
267,4,6296,2,Churned Customers
397,4,37596,2,Churned Customers
361,2,1398,2,Churned Customers
51,24,230276,0,Loyal Customers
205,6,92294,1,Regular Shoppers
2,8,131292,3,Potential High-Value
62,9,12091,1,Regular Shoppers
57,21,173279,0,Loyal Customers
25,27,132673,0,Loyal Customers
43,1,49999,1,Regular Shoppers
9,6,17744,1,Regular Shoppers
3,50,293002,0,Loyal Customers
245,3,2197,2,Churned Customers
206,4,36196,1,Regular Shoppers
34,29,155551,0,Loyal Customers
25,23,303877,0,Loyal Customers
173,1,1499,1,Regular Shoppers
18,6,56994,1,Regular Shoppers
1,30,195020,0,Loyal Customers
137,4,31896,1,Regular Shoppers
273,3,125147,2,Churned Customers
34,5,43995,1,Regular Shoppers
21,8,121392,3,Potential High-Value
134,3,63497,1,Regular Shoppers
63,8,76192,1,Regular Shoppers
367,6,88094,2,Churned Customers
136,15,176085,3,Potential High-Value
56,19,224881,0,Loyal Customers
203,3,22597,1,Regular Shoppers
53,2,8998,1,Regular Shoppers
198,10,130070,3,Potential High-Value
178,2,10498,1,Regular Shoppers
44,15,126285,3,Potential High-Value
439,1,1999,2,Churned Customers
27,8,64142,1,Regular Shoppers
82,7,31193,1,Regular Shoppers
0,53,436648,0,Loyal Customers
286,8,27808,2,Churned Customers
110,8,47622,1,Regular Shoppers
2,27,300373,0,Loyal Customers
159,3,3897,1,Regular Shoppers
1,5,62395,1,Regular Shoppers
369,3,51197,2,Churned Customers
46,27,90823,0,Loyal Customers
21,12,122988,3,Potential High-Value
34,9,99991,3,Potential High-Value
41,5,4595,1,Regular Shoppers
57,16,168784,3,Potential High-Value
2,5,43695,1,Regular Shoppers
29,3,5297,1,Regular Shoppers
0,9,125741,3,Potential High-Value
37,26,188284,0,Loyal Customers
3,23,294527,0,Loyal Customers
46,10,126201,3,Potential High-Value
717,1,199,2,Churned Customers
407,1,99,2,Churned Customers
61,29,345537,0,Loyal Customers
18,15,139865,3,Potential High-Value
193,8,67592,1,Regular Shoppers
252,4,29896,2,Churned Customers
157,5,40295,1,Regular Shoppers
142,8,78802,1,Regular Shoppers
221,2,27498,1,Regular Shoppers
413,3,51797,2,Churned Customers
109,6,93494,1,Regular Shoppers
19,28,335422,0,Loyal Customers
484,2,1549,2,Churned Customers
63,8,102092,3,Potential High-Value
7,10,126090,3,Potential High-Value
18,6,45794,1,Regular Shoppers
309,5,52495,2,Churned Customers
17,9,84162,3,Potential High-Value
52,7,37293,1,Regular Shoppers
61,9,33591,1,Regular Shoppers
333,2,2298,2,Churned Customers
139,6,114994,3,Potential High-Value
61,3,8697,1,Regular Shoppers
4,8,33592,1,Regular Shoppers
30,5,41017,1,Regular Shoppers
144,5,52095,1,Regular Shoppers
63,10,98800,3,Potential High-Value
6,3,98497,1,Regular Shoppers
237,10,42690,1,Regular Shoppers
104,4,14062,1,Regular Shoppers
37,26,218340,0,Loyal Customers
117,22,178565,0,Loyal Customers
28,16,214964,3,Potential High-Value
13,7,79093,1,Regular Shoppers
210,9,32241,1,Regular Shoppers
672,1,249,2,Churned Customers
451,1,799,2,Churned Customers
435,1,1599,2,Churned Customers
44,9,76791,3,Potential High-Value
17,9,90591,3,Potential High-Value
22,9,61691,1,Regular Shoppers
22,8,62853,1,Regular Shoppers
77,10,86940,3,Potential High-Value
28,10,71440,3,Potential High-Value
33,30,120720,0,Loyal Customers
53,8,169203,3,Potential High-Value
49,6,36994,1,Regular Shoppers
43,8,146092,3,Potential High-Value
228,9,98291,1,Regular Shoppers
31,27,231600,0,Loyal Customers
296,9,18147,2,Churned Customers
36,15,145095,3,Potential High-Value
188,2,199,1,Regular Shoppers
102,9,89591,3,Potential High-Value
24,5,4395,1,Regular Shoppers
38,27,361423,0,Loyal Customers
71,9,164607,3,Potential High-Value
5,7,40793,1,Regular Shoppers
135,9,100742,3,Potential High-Value
18,23,228377,0,Loyal Customers
693,2,35348,2,Churned Customers
118,1,1299,1,Regular Shoppers
143,6,12594,1,Regular Shoppers
65,26,317834,0,Loyal Customers
26,8,76292,3,Potential High-Value
157,5,63695,1,Regular Shoppers
4,15,160585,3,Potential High-Value
56,7,10644,1,Regular Shoppers
59,5,61761,1,Regular Shoppers
389,4,16696,2,Churned Customers
210,6,81394,1,Regular Shoppers
72,10,49790,1,Regular Shoppers
261,4,41052,2,Churned Customers
31,4,105996,3,Potential High-Value
100,8,106292,3,Potential High-Value
7,10,39420,1,Regular Shoppers
125,6,90294,1,Regular Shoppers
134,6,50894,1,Regular Shoppers
441,4,21702,2,Churned Customers
426,2,16178,2,Churned Customers
240,9,73941,1,Regular Shoppers
424,6,104704,2,Churned Customers
14,7,72014,1,Regular Shoppers
72,22,182908,0,Loyal Customers
345,2,2498,2,Churned Customers
367,5,51451,2,Churned Customers
0,14,33766,3,Potential High-Value
38,3,48497,1,Regular Shoppers
53,8,133692,3,Potential High-Value
103,9,92557,3,Potential High-Value
193,3,5197,1,Regular Shoppers
187,2,35248,1,Regular Shoppers
75,9,11091,1,Regular Shoppers
8,20,230480,0,Loyal Customers
133,7,82243,1,Regular Shoppers
227,3,8497,1,Regular Shoppers
26,3,8297,1,Regular Shoppers
35,10,55090,1,Regular Shoppers
63,6,32194,1,Regular Shoppers
115,2,3898,1,Regular Shoppers
11,10,61990,3,Potential High-Value
68,3,42897,1,Regular Shoppers
28,4,36396,1,Regular Shoppers
33,16,91840,3,Potential High-Value
57,9,154891,3,Potential High-Value
157,9,98307,3,Potential High-Value
77,10,58890,1,Regular Shoppers
23,10,94990,3,Potential High-Value
59,7,19303,1,Regular Shoppers
2,6,7694,1,Regular Shoppers
52,10,70890,3,Potential High-Value
16,9,16641,1,Regular Shoppers
7,3,51797,1,Regular Shoppers
578,1,4999,2,Churned Customers
9,29,239457,0,Loyal Customers
60,3,16497,1,Regular Shoppers
8,8,56992,1,Regular Shoppers
124,6,61594,1,Regular Shoppers
48,10,185290,3,Potential High-Value
34,12,65909,3,Potential High-Value
160,10,84970,3,Potential High-Value
124,21,220679,0,Loyal Customers
296,3,10597,2,Churned Customers
314,4,8396,2,Churned Customers
108,10,94461,3,Potential High-Value
33,16,81784,3,Potential High-Value
32,30,190620,0,Loyal Customers
297,3,4597,2,Churned Customers
155,7,11243,1,Regular Shoppers
119,6,14094,1,Regular Shoppers
52,4,33846,1,Regular Shoppers
194,6,36894,1,Regular Shoppers
530,1,899,2,Churned Customers
131,4,9196,1,Regular Shoppers
27,17,189333,3,Potential High-Value
16,10,26190,1,Regular Shoppers
100,3,1247,1,Regular Shoppers
151,8,109008,3,Potential High-Value
190,7,107793,1,Regular Shoppers
15,4,22296,1,Regular Shoppers
6,9,114991,3,Potential High-Value
25,16,117434,3,Potential High-Value
6,21,152079,3,Potential High-Value
7,18,154182,3,Potential High-Value
31,11,204189,3,Potential High-Value
118,3,30197,1,Regular Shoppers
3,7,61443,1,Regular Shoppers
585,1,3499,2,Churned Customers
16,16,122234,3,Potential High-Value
198,4,35762,1,Regular Shoppers
44,8,69292,1,Regular Shoppers
163,2,748,1,Regular Shoppers
167,2,4298,1,Regular Shoppers
33,5,24745,1,Regular Shoppers
181,7,18793,1,Regular Shoppers
40,8,22292,1,Regular Shoppers
66,2,1498,1,Regular Shoppers
20,13,186237,3,Potential High-Value
1,27,252253,0,Loyal Customers
672,1,499,2,Churned Customers
34,7,55893,1,Regular Shoppers
216,4,5096,1,Regular Shoppers
9,17,155534,3,Potential High-Value
114,7,37743,1,Regular Shoppers
222,1,499,1,Regular Shoppers
13,10,20156,1,Regular Shoppers
120,12,147244,3,Potential High-Value
31,10,67590,3,Potential High-Value
76,8,76542,1,Regular Shoppers
153,1,29999,1,Regular Shoppers
69,21,184179,0,Loyal Customers
599,1,19999,2,Churned Customers
127,2,40998,1,Regular Shoppers
68,9,122991,3,Potential High-Value
197,8,11663,1,Regular Shoppers
22,9,88341,3,Potential High-Value
33,28,180182,0,Loyal Customers
1,5,21195,1,Regular Shoppers
19,8,210373,3,Potential High-Value
603,1,3499,2,Churned Customers
0,15,129335,3,Potential High-Value
20,5,11625,1,Regular Shoppers
34,17,167883,3,Potential High-Value
110,7,76993,1,Regular Shoppers
33,26,148704,0,Loyal Customers
22,5,12545,1,Regular Shoppers
74,7,161593,3,Potential High-Value
127,6,45494,1,Regular Shoppers
1,5,49851,1,Regular Shoppers
34,9,65918,1,Regular Shoppers
45,9,89791,3,Potential High-Value
42,10,74190,3,Potential High-Value
103,8,18692,1,Regular Shoppers
24,9,21631,1,Regular Shoppers
172,5,4095,1,Regular Shoppers
27,5,37245,1,Regular Shoppers
167,2,5998,1,Regular Shoppers
15,29,302137,0,Loyal Customers
45,6,67694,1,Regular Shoppers
14,8,65992,1,Regular Shoppers
26,30,182770,0,Loyal Customers
54,2,3559,1,Regular Shoppers
146,2,35498,1,Regular Shoppers
71,24,196876,0,Loyal Customers
17,10,60690,3,Potential High-Value
80,29,277392,0,Loyal Customers
86,7,8671,1,Regular Shoppers
30,4,46496,1,Regular Shoppers
30,10,93096,3,Potential High-Value
2,20,228430,0,Loyal Customers
12,24,327876,0,Loyal Customers
21,16,196534,3,Potential High-Value
9,5,71995,1,Regular Shoppers
60,3,3247,1,Regular Shoppers
145,8,59692,1,Regular Shoppers
210,3,36797,1,Regular Shoppers
324,2,6498,2,Churned Customers
40,10,109290,3,Potential High-Value
38,7,12693,1,Regular Shoppers
421,2,4998,2,Churned Customers
48,5,38875,1,Regular Shoppers
11,13,142287,3,Potential High-Value
105,10,58190,1,Regular Shoppers
138,3,4153,1,Regular Shoppers
5,3,14497,1,Regular Shoppers
32,4,8046,1,Regular Shoppers
413,2,30248,2,Churned Customers
40,2,15898,1,Regular Shoppers
162,7,17993,1,Regular Shoppers
372,2,31998,2,Churned Customers
22,27,72923,3,Potential High-Value
39,6,29494,1,Regular Shoppers
28,26,346054,0,Loyal Customers
663,1,299,2,Churned Customers
0,18,107233,3,Potential High-Value
92,24,132276,0,Loyal Customers
67,6,68994,1,Regular Shoppers
179,9,14271,1,Regular Shoppers
30,15,215215,3,Potential High-Value
50,18,326882,0,Loyal Customers
22,9,71991,3,Potential High-Value
46,10,25690,1,Regular Shoppers
226,1,34999,1,Regular Shoppers
57,6,15994,1,Regular Shoppers
81,5,21795,1,Regular Shoppers
40,16,170334,3,Potential High-Value
285,1,29999,2,Churned Customers
53,7,96293,3,Potential High-Value
171,4,7596,1,Regular Shoppers
47,7,37943,1,Regular Shoppers
5,17,231363,0,Loyal Customers
607,2,44998,2,Churned Customers
34,6,92694,3,Potential High-Value
44,10,142790,3,Potential High-Value
114,4,56996,1,Regular Shoppers
135,12,59248,1,Regular Shoppers
57,5,4595,1,Regular Shoppers
37,22,219190,0,Loyal Customers
40,12,125799,3,Potential High-Value
57,13,93137,3,Potential High-Value
37,8,62092,1,Regular Shoppers
92,10,96890,3,Potential High-Value
13,27,388583,0,Loyal Customers
242,4,9996,1,Regular Shoppers
1,25,197575,0,Loyal Customers
13,23,209087,0,Loyal Customers
97,7,37394,1,Regular Shoppers
12,8,15792,1,Regular Shoppers
120,10,84590,3,Potential High-Value
1,5,11005,1,Regular Shoppers
133,10,118640,3,Potential High-Value
88,5,71995,1,Regular Shoppers
54,7,48764,1,Regular Shoppers
48,3,109997,1,Regular Shoppers
1,5,57695,1,Regular Shoppers
5,8,59142,1,Regular Shoppers
37,15,158085,3,Potential High-Value
61,3,6797,1,Regular Shoppers
698,1,999,2,Churned Customers
71,27,170784,0,Loyal Customers
44,29,340771,0,Loyal Customers
180,7,16493,1,Regular Shoppers
170,10,52590,1,Regular Shoppers
12,10,76190,3,Potential High-Value
29,7,93093,3,Potential High-Value
33,9,195652,3,Potential High-Value
83,7,111043,3,Potential High-Value
178,8,73292,1,Regular Shoppers
33,14,225336,3,Potential High-Value
33,9,25712,1,Regular Shoppers
110,5,10495,1,Regular Shoppers
241,2,3798,2,Churned Customers
130,7,26293,1,Regular Shoppers
19,10,161690,3,Potential High-Value
0,15,167785,3,Potential High-Value
80,4,6386,1,Regular Shoppers
462,2,798,2,Churned Customers
249,4,34696,2,Churned Customers
97,8,99492,3,Potential High-Value
277,5,28295,2,Churned Customers
19,6,39734,1,Regular Shoppers
462,1,9999,2,Churned Customers
92,5,41166,1,Regular Shoppers
17,29,235181,0,Loyal Customers
29,7,136793,3,Potential High-Value
180,4,86062,1,Regular Shoppers
273,5,27645,2,Churned Customers
5,24,173386,0,Loyal Customers
12,8,49243,1,Regular Shoppers
365,5,33345,2,Churned Customers
85,5,38625,1,Regular Shoppers
88,6,43244,1,Regular Shoppers
71,5,16495,1,Regular Shoppers
250,4,8596,2,Churned Customers
72,6,6750,1,Regular Shoppers
83,26,177034,0,Loyal Customers
60,10,121090,3,Potential High-Value
25,10,114070,3,Potential High-Value
33,7,66054,1,Regular Shoppers
113,1,5999,1,Regular Shoppers
64,8,36892,1,Regular Shoppers
138,6,55494,1,Regular Shoppers
133,7,120843,3,Potential High-Value
9,7,57093,1,Regular Shoppers
184,5,64395,1,Regular Shoppers
57,2,22998,1,Regular Shoppers
141,5,21045,1,Regular Shoppers
395,2,478,2,Churned Customers
123,7,84743,1,Regular Shoppers
66,7,20693,1,Regular Shoppers
40,6,46165,1,Regular Shoppers
2,7,64043,1,Regular Shoppers
700,1,699,2,Churned Customers
49,9,44762,1,Regular Shoppers
51,24,263142,0,Loyal Customers
17,12,205788,3,Potential High-Value
62,7,41323,1,Regular Shoppers
308,6,91694,2,Churned Customers
238,1,1499,2,Churned Customers
3,9,18041,1,Regular Shoppers
70,14,147236,3,Potential High-Value
9,5,4945,1,Regular Shoppers
169,4,6596,1,Regular Shoppers
71,5,26495,1,Regular Shoppers
8,28,184872,0,Loyal Customers
8,22,252228,0,Loyal Customers
51,8,127592,3,Potential High-Value
421,1,1599,2,Churned Customers
86,2,3398,1,Regular Shoppers
18,8,100192,3,Potential High-Value
106,8,65992,1,Regular Shoppers
23,7,9943,1,Regular Shoppers
119,5,18295,1,Regular Shoppers
11,9,107841,3,Potential High-Value
68,23,111577,3,Potential High-Value
16,10,94040,3,Potential High-Value
112,7,20543,1,Regular Shoppers
64,1,3999,1,Regular Shoppers
59,8,188863,3,Potential High-Value
213,18,156662,3,Potential High-Value
25,5,93245,1,Regular Shoppers
249,2,34998,2,Churned Customers
23,23,224327,0,Loyal Customers
399,1,2999,2,Churned Customers
280,3,21497,2,Churned Customers
180,5,68495,1,Regular Shoppers
53,10,45870,1,Regular Shoppers
166,2,89998,1,Regular Shoppers
114,21,83379,3,Potential High-Value
67,8,54092,1,Regular Shoppers
1,8,6602,1,Regular Shoppers
5,20,124487,3,Potential High-Value
25,25,261276,0,Loyal Customers
19,10,114660,3,Potential High-Value
63,7,87993,1,Regular Shoppers
297,8,115592,2,Churned Customers
92,17,226433,0,Loyal Customers
290,1,1799,2,Churned Customers
25,8,101322,3,Potential High-Value
6,9,62362,1,Regular Shoppers
48,6,53794,1,Regular Shoppers
53,2,1298,1,Regular Shoppers
13,9,46891,1,Regular Shoppers
287,3,44797,2,Churned Customers
67,8,50563,1,Regular Shoppers
239,7,48343,1,Regular Shoppers
106,5,3395,1,Regular Shoppers
14,28,201183,0,Loyal Customers
116,6,41494,1,Regular Shoppers
158,6,76494,1,Regular Shoppers
