Recency,Frequency,Monetary,Cluster,Segment
179,6,35494,1,Regular Shoppers
554,1,2199,2,Churned Customers
126,4,4496,1,Regular Shoppers
81,6,49794,1,Regular Shoppers
1,22,233728,0,Loyal Customers
143,6,75994,1,Regular Shoppers
588,1,199,2,Churned Customers
80,10,108320,3,Potential High-Value
10,13,65187,3,Potential High-Value
73,5,44395,1,Regular Shoppers
16,24,203576,0,Loyal Customers
408,5,60276,2,Churned Customers
454,2,1998,2,Churned Customers
8,6,75894,1,Regular Shoppers
99,3,11997,1,Regular Shoppers
107,3,3797,1,Regular Shoppers
21,16,160384,3,Potential High-Value
100,8,131908,3,Potential High-Value
398,4,20396,2,Churned Customers
98,11,69489,3,Potential High-Value
11,24,222306,0,Loyal Customers
394,4,56796,2,Churned Customers
24,19,104131,3,Potential High-Value
23,6,40724,1,Regular Shoppers
322,3,20497,2,Churned Customers
21,8,58592,1,Regular Shoppers
550,2,30498,2,Churned Customers
313,3,46997,2,Churned Customers
429,3,5697,2,Churned Customers
307,6,95994,2,Churned Customers
109,7,42993,1,Regular Shoppers
198,2,1398,1,Regular Shoppers
20,19,182191,3,Potential High-Value
36,7,39349,1,Regular Shoppers
304,3,89997,2,Churned Customers
43,7,9093,1,Regular Shoppers
4,23,316187,0,Loyal Customers
17,8,146292,3,Potential High-Value
26,8,17538,1,Regular Shoppers
208,3,6197,1,Regular Shoppers
74,1,1499,1,Regular Shoppers
49,13,31887,1,Regular Shoppers
38,22,202928,0,Loyal Customers
129,8,23158,1,Regular Shoppers
98,5,42995,1,Regular Shoppers
68,6,77474,1,Regular Shoppers
10,6,33444,1,Regular Shoppers
389,2,10298,2,Churned Customers
280,4,55696,2,Churned Customers
26,53,600504,0,Loyal Customers
51,5,49475,1,Regular Shoppers
140,6,3165,1,Regular Shoppers
22,23,233757,0,Loyal Customers
11,7,61893,1,Regular Shoppers
82,7,38993,1,Regular Shoppers
12,27,232753,0,Loyal Customers
279,6,29594,2,Churned Customers
11,9,37041,1,Regular Shoppers
242,5,54995,1,Regular Shoppers
7,8,94492,3,Potential High-Value
66,6,67694,1,Regular Shoppers
57,3,4247,1,Regular Shoppers
140,12,44709,1,Regular Shoppers
55,7,55593,1,Regular Shoppers
7,6,9794,1,Regular Shoppers
5,10,196591,3,Potential High-Value
60,10,18590,1,Regular Shoppers
62,7,57803,1,Regular Shoppers
